program_name,url,calendar_type
Minor in Nutrition,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/nutritionminor/index.html,Quarter
Minor in Operations and Supply Chain Management,https://catalog.drexel.edu/undergraduate/collegeofbusiness/operationsandsupplychainmanagementminor/index.html,Quarter
Minor in Organizational Management,https://catalog.drexel.edu/undergraduate/collegeofbusiness/organizationalmanagementminor/index.html,Quarter
Minor in Performing Arts,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/performingarts/,Quarter
Minor in Philosophy,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/philosophyminor/index.html,Quarter
Minor in Photography,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/photographyminor/,Quarter
Minor in Physics,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/physicsminor/index.html,Quarter
Minor in Playwriting,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/playwritingminor/index.html,Quarter
Minor in Politics,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/politics/,Quarter
Minor in Product Design,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/productdesignminor/index.html,Quarter
Minor in Psychiatric Rehabilitation,https://catalog.drexel.edu/undergraduate/collegeofnursingandhealthprofessions/psychiatricrehabilitation/,Quarter
Minor in Psychology,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/pychologyminor/index.html,Quarter
Minor in Public Health,https://catalog.drexel.edu/undergraduate/schoolofpublichealth/publichealthminor/,Quarter
Minor in Real Estate Management and Development,https://catalog.drexel.edu/undergraduate/collegeofbusiness/realestatemanagementanddevelopmentminor/index.html,Quarter
Minor in Religious Studies,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/religiousstudiesminor/index.html,Quarter
Minor in Robotics and Automation,https://catalog.drexel.edu/undergraduate/collegeofengineering/roboticsandautomationminor/index.html,Quarter
"Minor in Science, Technology and Society",https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/sciencetechnologysociety,Quarter
Minor in Screenwriting,https://catalog.drexel.edu/undergraduate/collegeofmediaartsanddesign/screenwritingminor/index.html,Quarter
Minor in Security Technology,https://catalog.drexel.edu/undergraduate/collegeofcomputingandinformatics/securitytechnologyminor/,Quarter
Minor in Social Entrepreneurship,https://catalog.drexel.edu/undergraduate/schoolofentrepreneurship/socialentrepreneurship/index.html,Quarter
Minor in Sociology,https://catalog.drexel.edu/undergraduate/collegeofartsandsciences/sociologyminor/index.html,Quarter
